1, 37
2, 53
3, 82
4, 37
5, 54
6, 85
7, 36
8, 52
9, 83
10, 30
11, 30
12, 51
13, 30
14, 30
15, 51
16, 33
17, 42
18, 68
19, 34
20, 57
21, 34
22, 63
23, 35
24, 61
25, 40
26, 76
27, 35
28, 61
29, 34
30, 43
31, 74
32, 34
33, 45
34, 77
35, 36
36, 66
37, 36
38, 78
39, 31
40, 50
41, 33
42, 63
43, 37
44, 50
45, 71
46, 35
47, 52
48, 35
49, 63
50, 35
51, 59
52, 35
53, 62
54, 37
55, 75
56, 36
57, 66
58, 43
59, 86
60, 36
61, 49
62, 75
63, 40
64, 57
65, 82
66, 35
67, 50
68, 74
69, 35
70, 50
71, 73
72, 41
73, 79
74, 35
75, 49
76, 71
77, 57
78, 79
79, 34
80, 66
81, 40
82, 68
83, 43
84, 38
85, 68
86, 36
87, 64
88, 35
89, 68
90, 36
91, 84
92, 39
93, 57
94, 81
95, 50
96, 36
97, 67
98, 41
99, 72
100, 41
101, 74
102, 36
103, 79
104, 36
105, 55
106, 67
107, 65
108, 44
109, 41
110, 73
111, 37
112, 65
113, 38
114, 59
115, 67
116, 36
117, 63
118, 38
119, 61
120, 44
121, 84
122, 68
123, 78
124, 65
125, 76
126, 78
127, 78
128, 73
129, 31
130, 84
131, 75
132, 35
133, 37
134, 73
135, 85
136, 84
137, 49
138, 44
139, 73
140, 46
141, 77
142, 83
143, 70
144, 87
145, 87
146, 87
147, 36
148, 57
149, 88
150, 93
151, 88
